layer_idx,head_idx,sketch_dim,theta_elim,elimination_rate_mean,elimination_rate_std,resurrection_rate_mean,resurrection_rate_std,false_elimination_rate_mean,false_elimination_rate_std,top8_overlap_mean,top8_overlap_std,top16_overlap_mean,top16_overlap_std,top32_overlap_mean,top32_overlap_std,rank_correlation_mean,rank_correlation_std,eliminated_count,false_eliminated_count,total_tokens,survivor_count,relevant_count,num_samples
0,0,16,0.7,0.348255,0.441962,0.651745,0.441962,0.3125,0.443412,0.666667,0.224382,0.75,0.102062,0.885417,0.077951,0.959673,0.038414,130,60,376,246,192,6
0,0,16,0.75,0.348255,0.441962,0.651745,0.441962,0.3125,0.443412,0.666667,0.224382,0.75,0.102062,0.885417,0.077951,0.959673,0.038414,130,60,376,246,192,6
0,0,16,0.8,0.348255,0.441962,0.651745,0.441962,0.3125,0.443412,0.666667,0.224382,0.75,0.102062,0.885417,0.077951,0.959673,0.038414,130,60,376,246,192,6
0,0,16,0.85,0.350538,0.440899,0.649462,0.440899,0.3125,0.443412,0.666667,0.224382,0.75,0.102062,0.885417,0.077951,0.959673,0.038414,131,60,376,245,192,6
0,0,16,0.9,0.352822,0.439892,0.647178,0.439892,0.317708,0.439881,0.666667,0.224382,0.75,0.102062,0.885417,0.077951,0.959673,0.038414,132,61,376,244,192,6
0,0,16,0.95,0.352822,0.439892,0.647178,0.439892,0.317708,0.439881,0.666667,0.224382,0.75,0.102062,0.885417,0.077951,0.959673,0.038414,132,61,376,244,192,6
0,0,32,0.05,0.757875,0.260959,0.242125,0.260959,0.619792,0.391319,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,294,119,376,82,192,6
0,0,32,0.1,0.757875,0.260959,0.242125,0.260959,0.619792,0.391319,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,294,119,376,82,192,6
0,0,32,0.15,0.757875,0.260959,0.242125,0.260959,0.619792,0.391319,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,294,119,376,82,192,6
0,0,32,0.2,0.757875,0.260959,0.242125,0.260959,0.619792,0.391319,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,294,119,376,82,192,6
0,0,32,0.25,0.760439,0.26309,0.239561,0.26309,0.625,0.395696,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,295,120,376,81,192,6
0,0,32,0.3,0.760439,0.26309,0.239561,0.26309,0.625,0.395696,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,295,120,376,81,192,6
0,0,32,0.35,0.760439,0.26309,0.239561,0.26309,0.625,0.395696,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,295,120,376,81,192,6
0,0,32,0.4,0.760439,0.26309,0.239561,0.26309,0.625,0.395696,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,295,120,376,81,192,6
0,0,32,0.45,0.766034,0.262919,0.233966,0.262919,0.635417,0.395559,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,297,122,376,79,192,6
0,0,32,0.5,0.766034,0.262919,0.233966,0.262919,0.635417,0.395559,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,297,122,376,79,192,6
