model_name,prompt_idx,prompt_type,prompt_length,layer_idx,head_idx,sketch_dim,theta,topk_overlap,rank_correlation,false_elimination_rate,elimination_rate,num_tokens
gpt2,0,short,10,0,0,16,0.7,0.75,0.8753246753246755,0.0,0.0,10
gpt2,0,short,10,0,1,16,0.7,0.875,0.9064935064935066,0.0,0.0,10
gpt2,0,short,10,0,2,16,0.7,1.0,0.9740259740259741,0.5,0.6,10
gpt2,0,short,10,0,3,16,0.7,0.875,0.9974025974025975,0.0,0.0,10
gpt2,0,short,10,0,4,16,0.7,0.875,0.8025974025974028,0.0,0.0,10
gpt2,0,short,10,0,5,16,0.7,0.75,0.6831168831168832,0.0,0.0,10
gpt2,0,short,10,0,6,16,0.7,0.875,0.9662337662337663,0.0,0.1,10
gpt2,0,short,10,0,7,16,0.7,0.875,0.8181818181818183,0.0,0.0,10
gpt2,0,short,10,0,8,16,0.7,0.75,0.7194805194805196,0.0,0.0,10
gpt2,0,short,10,0,9,16,0.7,0.75,0.7246753246753248,0.0,0.0,10
gpt2,0,short,10,0,10,16,0.7,0.875,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,0,11,16,0.7,1.0,0.9844155844155845,1.0,1.0,10
gpt2,0,short,10,0,0,16,0.9,0.75,0.8753246753246755,0.0,0.0,10
gpt2,0,short,10,0,1,16,0.9,0.875,0.9064935064935066,0.0,0.0,10
gpt2,0,short,10,0,2,16,0.9,1.0,0.9740259740259741,0.5,0.6,10
gpt2,0,short,10,0,3,16,0.9,0.875,0.9974025974025975,0.0,0.0,10
gpt2,0,short,10,0,4,16,0.9,0.875,0.8025974025974028,0.0,0.0,10
gpt2,0,short,10,0,5,16,0.9,0.75,0.6831168831168832,0.0,0.0,10
gpt2,0,short,10,0,6,16,0.9,0.875,0.9662337662337663,0.0,0.1,10
gpt2,0,short,10,0,7,16,0.9,0.875,0.8181818181818183,0.0,0.0,10
gpt2,0,short,10,0,8,16,0.9,0.75,0.7194805194805196,0.0,0.0,10
gpt2,0,short,10,0,9,16,0.9,0.75,0.7246753246753248,0.0,0.0,10
gpt2,0,short,10,0,10,16,0.9,0.875,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,0,11,16,0.9,1.0,0.9844155844155845,1.0,1.0,10
gpt2,0,short,10,0,0,32,0.1,0.875,0.8831168831168833,1.0,1.0,10
gpt2,0,short,10,0,1,32,0.1,0.875,0.9454545454545455,0.25,0.4,10
gpt2,0,short,10,0,2,32,0.1,0.875,0.9402597402597404,0.0,0.1,10
gpt2,0,short,10,0,3,32,0.1,0.875,0.9818181818181819,0.0,0.0,10
gpt2,0,short,10,0,4,32,0.1,1.0,0.9974025974025975,0.0,0.0,10
gpt2,0,short,10,0,5,32,0.1,0.875,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,0,6,32,0.1,0.75,0.9064935064935066,0.0,0.0,10
gpt2,0,short,10,0,7,32,0.1,1.0,0.9844155844155845,0.125,0.3,10
gpt2,0,short,10,0,8,32,0.1,0.875,0.9532467532467533,1.0,1.0,10
